name;artist_id
A Cor Do Som;43
AC/DC;1
Aaron Copland & London Symphony Orchestra;230
Aaron Goldberg;202
Academy of St. Martin in the Fields & Sir Neville Marriner;214
Academy of St. Martin in the Fields Chamber Ensemble & Sir Neville Marriner;215
Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair;222
Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart;257
Academy of St. Martin in the Fields, Sir Neville Marriner & William Bennett;239
Accept;2
Adrian Leaper & Doreen de Feis;260
Aerosmith;3
Aerosmith & Sierra Leone's Refugee Allstars;161
Aisha Duo;197
Alanis Morissette;4
Alberto Turco & Nova Schola Gregoriana;206
Alice In Chains;5
Amy Winehouse;252
Anne-Sophie Mutter, Herbert Von Karajan & Wiener Philharmoniker;209
Antal Doráti & London Symphony Orchestra;243
Antônio Carlos Jobim;6
Apocalyptica;7
Aquaman;159
Audioslave;8
Avril Lavigne;166
Azymuth;26
Baby Consuelo;31
BackBeat;9
Banda Black Rio;38
Barry Wordsworth & BBC Concert Orchestra;224
Barão Vermelho;48
Battlestar Galactica;147
Battlestar Galactica (Classic);158
Bebel Gilberto;29
Ben Harper;171
Berliner Philharmoniker & Hans Rosbaud;237
Berliner Philharmoniker & Herbert Von Karajan;248
Berliner Philharmoniker, Claudio Abbado & Sabine Meyer;216
Big & Rich;167
Billy Cobham;10
Black Eyed Peas;169
Black Label Society;11
Black Sabbath;12
Body Count;13
Boston Symphony Orchestra & Seiji Ozawa;229
Britten Sinfonia, Ivor Bolton & Lesley Garrett;219
Bruce Dickinson;14
Buddy Guy;15
"C. Monteverdi, Nigel Rogers - Chiaroscuro; London Baroque; London Cornett & Sackbu";273
Caetano Veloso;16
Cake;196
Calexico;253
Charles Dutoit & L'Orchestre Symphonique de Montréal;262
Charlie Brown Jr.;185
Chicago Symphony Chorus, Chicago Symphony Orchestra & Sir Georg Solti;220
Chicago Symphony Orchestra & Fritz Reiner;233
Chico Buarque;17
Chico Science & Nação Zumbi;18
Choir Of Westminster Abbey & Simon Preston;244
Chor der Wiener Staatsoper, Herbert Von Karajan & Wiener Philharmoniker;246
Chris Cornell;205
Christina Aguilera featuring BigElf;160
Christopher O'Riley;250
Cidade Negra;19
Cláudio Zoli;20
Corinne Bailey Rae;163
Creedence Clearwater Revival;76
Cássia Eller;77
DJ Dolores & Orchestra Santa Massa;192
David Coverdale;55
Deep Purple;58
Def Leppard;78
Dennis Chambers;79
Dhani Harrison & Jakob Dylan;164
Djavan;80
Dread Zeppelin;157
Ed Motta;37
Edo de Waart & San Francisco Symphony;242
Edson, DJ Marky & DJ Patife Featuring Fernanda Porto;49
Elis Regina;41
Emanuel Ax, Eugene Ormandy & Philadelphia Orchestra;235
Emerson String Quartet;272
English Concert & Trevor Pinnock;208
Equale Brass Ensemble, John Eliot Gardiner & Munich Monteverdi Orchestra and Choir;263
Eric Clapton;81
Eugene Ormandy;226
Faith No More;82
Falamansa;83
Felix Schmidt, London Symphony Orchestra & Rafael Frühbeck de Burgos;241
Fernanda Porto;39
Foo Fighters;84
Frank Sinatra;85
Frank Zappa & Captain Beefheart;23
Fretwork;251
Funk Como Le Gusta;86
Gene Krupa;69
Gerald Moore;270
Gilberto Gil;27
Godsmack;87
Gonzaguinha;56
Green Day;54
Guns N' Roses;88
Gustav Mahler;240
Gustavo & Andres Veiga & Salazar;183
Göteborgs Symfoniker & Neeme Järvi;267
